Trip ID,Date,Retailer,Parent Brand,User ID,Item Dollars,Item Units
9598036,1/3/2014,Walmart,5 Hour Energy,42952,$10,1
9598243,1/2/2014,Walmart,Monster,23289,$4,2
9599730,1/3/2014,CVS,Red Bull,312837,$6,3
9599818,1/3/2014,Walgreens,Rockstar,336056,$3,1
9600893,1/3/2014,Walgreens,5 Hour Energy,201360,$4,1
9602199,1/3/2014,CVS,Red Bull,316617,$6,1
9602245,1/2/2014,Target,Red Bull,196033,$2,1
9602638,1/3/2014,Kroger,Monster,347134,$297,35
9604478,1/3/2014,Walmart,5 Hour Energy,200040,$13,1
9605402,1/3/2014,Walmart,Red Bull,209984,$10,4
9607303,1/3/2014,Walmart,5 Hour Energy,335913,$5,1
9607502,1/3/2014,Safeway,Monster,90225,$2,1
9607887,1/2/2014,Kroger,Monster,53688,$2,1
9608074,1/2/2014,Walmart,Monster,55670,$2,1
9608829,1/3/2014,Walgreens,Monster,187864,$4,2
9609253,1/3/2014,Walmart,5 Hour Energy,128370,$3,1
9609690,1/2/2014,CVS,Monster,347499,$2,1
9609994,1/3/2014,Kroger,Monster,100091,$4,2
9610703,1/2/2014,Target,Red Bull,120032,$5,2
9610997,1/3/2014,Walgreens,Red Bull,4863,$2,1
9612754,1/3/2014,Walgreens,Red Bull,209984,$4,1
9612830,1/3/2014,Walgreens,Red Bull,130784,$10,1
9613254,1/3/2014,Target,Red Bull,358563,$18,1
9614507,1/3/2014,Safeway,Rockstar,322923,$2,1
9616612,1/4/2014,Kroger,Monster,236233,$4,1
9617972,1/2/2014,Target,Monster,87801,$3,1
9619285,1/2/2014,Safeway,Monster,107505,$5,1
9619307,1/3/2014,Kroger,5 Hour Energy,303033,$3,1
9619542,1/2/2014,Safeway,Rockstar,342973,$2,1
9619948,1/3/2014,Kroger,Rockstar,256013,$2,1
9620345,1/3/2014,Walgreens,Red Bull,351797,$6,1
9620447,1/3/2014,Walgreens,5 Hour Energy,250970,$8,2
9622522,1/3/2014,Kroger,Rockstar,120087,$20,10
9622716,1/2/2014,Kroger,Monster,159433,$5,3
9622795,1/3/2014,Walmart,Monster,231914,$4,2
9622939,1/3/2014,Walmart,Red Bull,194949,$2,1
9624013,1/2/2014,Target,Red Bull,108299,$24,2
9625118,1/2/2014,Walmart,Monster,3079,$6,3
9625460,1/3/2014,Walmart,Red Bull,258205,$2,1
9626628,1/3/2014,Target,Red Bull,36245,$7,2
9628131,1/2/2014,Safeway,Red Bull,324184,$6,2
9628170,1/3/2014,Kroger,Rockstar,184532,$30,17
9628223,1/3/2014,Kroger,Rockstar,325757,$4,2
9629808,1/2/2014,CVS,Monster,162425,$5,2
9629818,1/3/2014,CVS,Monster,162425,$5,2
9630759,1/3/2014,Costco,Red Bull,242504,$33,1
9631607,1/3/2014,Kroger,Red Bull,259238,$2,1
9632687,1/3/2014,Publix,Red Bull,8444,$5,2
9633540,1/4/2014,Walmart,Red Bull,311990,$2,1
9633816,1/2/2014,Target,Red Bull,312300,$4,2
9634046,1/3/2014,Walmart,Rockstar,338482,$14,9
9634081,1/3/2014,Walmart,Monster,364195,$11,1
9634932,1/2/2014,Target,Monster,1999,$2,1
9635194,1/3/2014,Walmart,5 Hour Energy,202170,$10,1
9635277,1/3/2014,Walmart,Monster,237516,$2,1
9635522,1/3/2014,Target,Monster,195547,$8,5
9635878,1/4/2014,Walmart,Red Bull,223979,$2,1
9636356,1/2/2014,Walgreens,5 Hour Energy,111691,$4,1
9636546,1/3/2014,Walgreens,Rockstar,127850,$3,3
9637083,1/4/2014,Publix,Monster,316323,$14,1
9638046,1/2/2014,CVS,5 Hour Energy,242215,$8,2
9638200,1/3/2014,Walmart,Rockstar,191685,$2,1
9638544,1/2/2014,Target,Monster,117418,$6,1
9639206,1/3/2014,Walmart,Red Bull,16217,$2,1
9639621,1/4/2014,Walmart,Monster,314565,$2,1
9639633,1/3/2014,Walmart,5 Hour Energy,177335,$10,1
9640082,1/3/2014,Walmart,Monster,80813,$2,1
9640693,1/3/2014,Target,Monster,314696,$6,1
9641984,1/2/2014,Target,Monster,219383,$6,1
9642889,1/4/2014,Kroger,5 Hour Energy,122767,$5,2
9644365,1/4/2014,Walmart,Monster,298717,$2,1
9645056,1/4/2014,Walmart,Red Bull,104892,$18,2
9645492,1/4/2014,Target,Rockstar,183004,$12,2
9645729,1/4/2014,Kroger,Rockstar,313299,$9,5
9645794,1/4/2014,Kroger,Rockstar,2906,$2,1
9646522,1/3/2014,Safeway,Rockstar,209444,$5,1
9646547,1/3/2014,Costco,Red Bull,242839,$35,1
9647249,1/4/2014,Target,Monster,190429,$3,1
9647553,1/4/2014,Walmart,Monster,104883,$2,1
9647567,1/2/2014,Kroger,Rockstar,351922,$9,5
9648062,1/4/2014,Walmart,Monster,37787,$12,2
9648551,1/3/2014,Walgreens,Red Bull,104892,$6,1
9648840,1/4/2014,Safeway,Monster,87142,$1,1
9650796,1/4/2014,Target,Red Bull,195361,$6,1
9652103,1/4/2014,Walmart,Monster,55670,$2,1
9652515,1/4/2014,Kroger,Monster,362208,$2,1
9652561,1/4/2014,Walmart,Red Bull,96226,$6,1
9652891,1/3/2014,Walmart,Monster,293832,$3,1
9652957,1/3/2014,Walmart,Monster,349885,$2,1
9652957,1/3/2014,Walmart,Red Bull,349885,$2,1
9653077,1/4/2014,Walgreens,Red Bull,349885,$4,2
9653731,1/4/2014,Walmart,Red Bull,98432,$12,2
9653998,1/2/2014,Walgreens,Monster,335711,$3,1
9654356,1/4/2014,Kroger,Red Bull,86012,$5,2
9654860,1/4/2014,Walmart,Monster,348590,$18,5
9654954,1/4/2014,Safeway,Rockstar,306033,$2,1
9655535,1/4/2014,Kroger,Rockstar,84487,$6,3
9655650,1/4/2014,CVS,Red Bull,306418,$4,2
9656571,1/4/2014,Walmart,Rockstar,364715,$2,1
9657447,1/4/2014,Walmart,Red Bull,327708,$2,1
9657652,1/3/2014,Walgreens,Red Bull,154506,$4,1
9657682,1/4/2014,Walmart,Rockstar,154506,$3,2
9658441,1/4/2014,Safeway,Monster,315485,$5,1
9658599,1/5/2014,Walmart,Monster,326772,$2,1
9659410,1/2/2014,Walmart,Red Bull,101608,$2,1
9659905,1/3/2014,Walgreens,Red Bull,131123,$7,1
9659914,1/4/2014,Kroger,Rockstar,87090,$14,8
9660455,1/4/2014,Safeway,Monster,206192,$2,1
9660629,1/2/2014,Kroger,Rockstar,364770,$4,2
9660837,1/4/2014,Safeway,Rockstar,232274,$4,2
9661351,1/3/2014,Walgreens,Rockstar,79432,$3,3
9661357,1/3/2014,Target,Rockstar,207749,$2,1
9661462,1/4/2014,Kroger,Monster,106307,$2,1
9661681,1/4/2014,Walmart,Red Bull,363729,$2,1
9662398,1/4/2014,Walmart,5 Hour Energy,273890,$10,1
9662719,1/4/2014,Kroger,Rockstar,107401,$36,1
9663217,1/4/2014,Walmart,Rockstar,358302,$2,1
9663395,1/3/2014,Walmart,Monster,131940,$6,1
9663503,1/4/2014,Walgreens,Rockstar,85665,$3,3
9663691,1/5/2014,CVS,Monster,85122,$2,1
9663698,1/4/2014,Safeway,Rockstar,200695,$5,1
9664032,1/4/2014,Walmart,Monster,244705,$2,1
9664055,1/4/2014,Kroger,Monster,115876,$13,2
9664257,1/4/2014,Walmart,Red Bull,226533,$2,1
9664297,1/4/2014,Publix,Red Bull,113294,$4,2
9664465,1/4/2014,CVS,5 Hour Energy,301137,$3,1
9664592,1/4/2014,CVS,5 Hour Energy,362722,$32,8
9664792,1/2/2014,Kroger,Monster,220350,$2,1
9664978,1/3/2014,Walmart,Monster,15740,$10,8
9665317,1/4/2014,Kroger,Red Bull,212953,$5,2
9666786,1/3/2014,Kroger,Rockstar,150304,$2,1
9667629,1/2/2014,Walmart,Red Bull,130231,$2,1
9667858,1/4/2014,Safeway,5 Hour Energy,153302,$10,1
9668148,1/3/2014,Walgreens,Red Bull,71231,$3,1
9668263,1/4/2014,Publix,Monster,193765,$2,1
9668616,1/3/2014,Safeway,Red Bull,73980,$4,1
9668783,1/3/2014,Target,Red Bull,109682,$7,1
9668979,1/3/2014,Walmart,Monster,76374,$14,1
9669562,1/4/2014,Walmart,Red Bull,234280,$6,1
9670275,1/4/2014,Walmart,Rockstar,29350,$14,1
9670282,1/4/2014,Walgreens,Red Bull,91666,$6,1
9670500,1/4/2014,Walmart,5 Hour Energy,255025,$37,3
9670500,1/4/2014,Walmart,Red Bull,255025,$18,1
9671082,1/3/2014,Publix,Red Bull,264252,$16,4
9671867,1/4/2014,Target,Red Bull,254293,$2,1
9672086,1/3/2014,Safeway,Red Bull,157125,$2,1
9672332,1/4/2014,Kroger,Monster,103583,$2,1
9672341,1/4/2014,Kroger,Rockstar,318883,$18,10
9672445,1/4/2014,Walmart,Monster,76374,$2,1
9672571,1/4/2014,Walmart,Red Bull,127012,$2,1
9673174,1/2/2014,Kroger,Red Bull,224333,$9,3
9673403,1/3/2014,Kroger,Monster,247978,$2,1
9673526,1/3/2014,Kroger,Monster,358381,$2,1
9673526,1/3/2014,Kroger,Rockstar,358381,$5,3
9673783,1/4/2014,Target,Red Bull,363620,$2,1
9673882,1/3/2014,Kroger,Monster,358381,$4,2
9673882,1/3/2014,Kroger,Rockstar,358381,$5,3
9674102,1/4/2014,Walmart,Red Bull,196435,$6,1
9674165,1/4/2014,Safeway,5 Hour Energy,358924,$3,1
9674922,1/3/2014,Walmart,Rockstar,317007,$2,1
9675004,1/4/2014,Walmart,Monster,231324,$14,1
9675291,1/4/2014,Walmart,Monster,120699,$6,1
9675602,1/4/2014,Walmart,Monster,61597,$6,1
9675952,1/5/2014,Walmart,Red Bull,43695,$4,1
9676037,1/5/2014,Walmart,Red Bull,331867,$2,1
9676415,1/3/2014,Target,Red Bull,98988,$3,1
9676445,1/4/2014,Kroger,Red Bull,98988,$2,1
9676666,1/3/2014,Walgreens,Monster,252617,$2,1
9677290,1/4/2014,CVS,Monster,104526,$2,1
9677703,1/5/2014,Kroger,Monster,135586,$3,1
9677911,1/3/2014,Kroger,5 Hour Energy,61575,$5,1
9677998,1/2/2014,Kroger,Rockstar,79664,$6,3
9678220,1/4/2014,Kroger,Rockstar,79664,$18,9
9678225,1/3/2014,Kroger,Rockstar,318883,$18,10
9678480,1/3/2014,Walmart,Monster,234391,$4,2
9678579,1/3/2014,Walmart,Red Bull,146123,$18,1
9679263,1/3/2014,Target,Monster,117774,$12,1
9679553,1/5/2014,Walgreens,Monster,178339,$4,2
9679596,1/4/2014,Kroger,5 Hour Energy,284806,$5,1
9680118,1/4/2014,Kroger,Rockstar,217355,$10,5
9680740,1/5/2014,Walmart,Monster,195678,$6,1
9680982,1/5/2014,Kroger,Rockstar,185313,$4,2
9681009,1/4/2014,Walmart,Rockstar,185313,$2,1
9681188,1/4/2014,Target,Red Bull,240637,$7,1
9681619,1/3/2014,Walgreens,Red Bull,230629,$3,1
9682312,1/3/2014,Target,Red Bull,347806,$18,1
9682456,1/5/2014,Publix,Monster,98482,$2,1
9683026,1/4/2014,Safeway,Monster,260721,$5,1
9683120,1/5/2014,Walmart,Red Bull,11211,$2,1
9683677,1/5/2014,Walmart,Monster,345873,$2,1
9683785,1/5/2014,Walmart,5 Hour Energy,198173,$5,1
9683811,1/2/2014,Target,Rockstar,187604,$6,1
9684568,1/5/2014,Kroger,Rockstar,195478,$4,2
9684595,1/3/2014,Kroger,Rockstar,195478,$4,2
9684760,1/3/2014,CVS,Rockstar,242773,$2,1
9685476,1/5/2014,Walmart,Red Bull,242872,$2,1
9686499,1/3/2014,Publix,Monster,210175,$10,6
9687239,1/5/2014,Walmart,Red Bull,126057,$6,1
9687600,1/5/2014,Walgreens,Red Bull,361464,$2,1
9687854,1/5/2014,Walmart,Monster,80813,$2,1
9687918,1/5/2014,Safeway,Red Bull,276894,$6,1
9688576,1/2/2014,Kroger,Red Bull,101683,$2,1
9689030,1/5/2014,Walmart,Red Bull,250516,$2,1
9689260,1/5/2014,CVS,Red Bull,228118,$5,2
9689781,1/3/2014,Walmart,Monster,45799,$6,1
9690226,1/5/2014,Safeway,Monster,258240,$2,1
9690338,1/2/2014,CVS,Red Bull,199012,$2,1
9691404,1/5/2014,Walmart,Monster,326615,$6,1
9692116,1/5/2014,Kroger,Rockstar,286293,$5,3
9692142,1/4/2014,Walgreens,Red Bull,326497,$3,1
9692440,1/4/2014,Walmart,Monster,285681,$6,1
9692622,1/5/2014,Walmart,Monster,580,$14,1
9692791,1/5/2014,Target,Rockstar,49843,$6,1
9693552,1/4/2014,Kroger,Red Bull,67932,$11,1
9694665,1/5/2014,Walmart,Red Bull,322354,$18,1
9694948,1/5/2014,Kroger,Rockstar,316910,$2,1
9695066,1/4/2014,Publix,Red Bull,178419,$2,1
9696851,1/4/2014,Walmart,Rockstar,335115,$4,2
9698569,1/5/2014,Walmart,Monster,115049,$6,1
9699051,1/5/2014,Target,5 Hour Energy,247159,$3,1
9699243,1/5/2014,Walmart,Monster,49528,$4,2
9699396,1/4/2014,Kroger,Rockstar,147902,$1,1
9699602,1/4/2014,Walmart,Monster,117418,$14,1
9699602,1/4/2014,Walmart,Red Bull,117418,$18,1
9702844,1/3/2014,Kroger,Rockstar,49434,$2,1
9703487,1/5/2014,Target,Rockstar,21094,$11,1
9704098,1/3/2014,Walmart,Rockstar,27884,$2,1
9704126,1/3/2014,Walmart,Rockstar,27884,$2,1
9704516,1/6/2014,Walmart,Red Bull,285993,$6,1
9705147,1/5/2014,Walmart,Red Bull,186798,$2,1
9705356,1/5/2014,Walmart,Monster,80767,$14,1
9705898,1/5/2014,Walmart,Monster,250397,$2,1
9706153,1/5/2014,Walmart,Monster,204969,$4,2
9706314,1/3/2014,Target,Rockstar,38076,$14,8
9706508,1/3/2014,Target,Monster,159701,$2,1
9707238,1/4/2014,Safeway,Red Bull,361,$3,1
9707805,1/5/2014,Walmart,Monster,275518,$14,1
9708082,1/5/2014,Kroger,Monster,272265,$7,1
9710536,1/5/2014,Target,Red Bull,343600,$18,1
9710763,1/5/2014,Walmart,Monster,289809,$2,1
9710864,1/3/2014,Walmart,5 Hour Energy,177335,$10,1
9711097,1/3/2014,Kroger,Red Bull,341003,$21,1
9711097,1/3/2014,Kroger,Rockstar,341003,$2,1
9711987,1/5/2014,Walmart,Monster,311448,$2,1
9712663,1/5/2014,Publix,5 Hour Energy,319751,$4,1
9712671,1/5/2014,Walmart,5 Hour Energy,103448,$60,5
9712904,1/5/2014,Publix,Rockstar,32984,$2,1
9713796,1/5/2014,Kroger,Monster,292962,$7,1
9714823,1/3/2014,Kroger,Rockstar,326414,$16,9
9715436,1/5/2014,Kroger,Monster,110491,$2,1
9716781,1/5/2014,Walgreens,Red Bull,60102,$7,1
9717668,1/4/2014,Kroger,Rockstar,191,$2,1
9717768,1/4/2014,Walmart,Monster,319395,$6,1
9718163,1/5/2014,Walmart,Monster,275115,$2,1
9718163,1/5/2014,Walmart,Rockstar,275115,$2,1
9718281,1/5/2014,Target,Monster,218633,$11,1
9719197,1/4/2014,Walmart,Red Bull,291216,$6,1
9719230,1/5/2014,Walmart,Monster,256088,$5,3
9720244,1/5/2014,Safeway,Red Bull,244994,$6,1
9721140,1/3/2014,Kroger,Monster,7395,$5,2
9721397,1/5/2014,Target,Red Bull,345172,$4,1
9721462,1/5/2014,Kroger,Rockstar,108730,$5,4
9721526,1/5/2014,CVS,Monster,321921,$8,1
9722256,1/4/2014,Safeway,Red Bull,162901,$6,1
9722430,1/5/2014,Walmart,Red Bull,131123,$9,1
9722844,1/5/2014,Walgreens,Red Bull,109682,$4,1
9722908,1/5/2014,Walmart,Red Bull,144292,$2,1
9722960,1/5/2014,Target,Red Bull,228211,$6,1
9723274,1/6/2014,Kroger,Rockstar,93117,$9,5
9723332,1/4/2014,Kroger,Rockstar,53257,$9,5
9723409,1/4/2014,Kroger,Rockstar,224258,$12,6
9723663,1/4/2014,Kroger,Rockstar,70608,$7,4
9725246,1/4/2014,Walmart,Monster,105889,$14,1
9725865,1/5/2014,Kroger,Monster,209565,$7,1
9726153,1/5/2014,Target,Monster,188631,$2,1
9726418,1/3/2014,Walmart,Monster,81741,$2,1
9726641,1/5/2014,Walgreens,Red Bull,101387,$4,1
9726695,1/5/2014,Walmart,Monster,288922,$2,1
9726848,1/5/2014,Target,Red Bull,273004,$6,1
9727992,1/5/2014,Target,Red Bull,107818,$2,1
9729372,1/4/2014,Kroger,Monster,230519,$2,1
9729680,1/4/2014,Walmart,Monster,218751,$2,1
9729680,1/4/2014,Walmart,Rockstar,218751,$1,1
9729729,1/6/2014,Walmart,Rockstar,362172,$2,1
9731013,1/4/2014,Walgreens,Red Bull,2622,$7,1
9731351,1/4/2014,Walmart,Monster,348872,$4,2
9731604,1/5/2014,Walmart,Monster,320580,$2,1
9731697,1/4/2014,Publix,Red Bull,232770,$2,1
9731713,1/3/2014,Target,Red Bull,232770,$2,1
9731984,1/4/2014,Walmart,Monster,199489,$6,1
9732592,1/4/2014,Walmart,Monster,309519,$14,1
9733103,1/5/2014,CVS,5 Hour Energy,77868,$3,1
9733373,1/6/2014,Walgreens,Red Bull,359847,$6,1
9733575,1/3/2014,Walmart,Monster,180731,$4,2
9734455,1/3/2014,CVS,Monster,162627,$2,1
9734552,1/3/2014,Target,Red Bull,357014,$3,1
9734801,1/4/2014,Kroger,Red Bull,343753,$3,1
9734845,1/6/2014,CVS,Monster,35116,$3,1
9734863,1/6/2014,Target,Monster,229137,$6,1
9734995,1/6/2014,Costco,Monster,252295,$58,2
9735104,1/5/2014,Kroger,Red Bull,99575,$3,1
9735120,1/6/2014,Walgreens,5 Hour Energy,195956,$5,1
9735128,1/6/2014,Walgreens,Red Bull,279383,$2,1
9736223,1/5/2014,Safeway,Monster,299462,$3,1
9736287,1/6/2014,Walgreens,Monster,290937,$4,2
9736317,1/2/2014,Safeway,Monster,348189,$4,2
9736323,1/5/2014,Walmart,Monster,242880,$16,2
9736336,1/4/2014,Safeway,Monster,348189,$6,1
9736398,1/5/2014,Kroger,Rockstar,60763,$9,5
9736664,1/5/2014,Target,Monster,223200,$2,1
9737853,1/6/2014,Kroger,Red Bull,243052,$6,1
9738081,1/6/2014,Walmart,Red Bull,243498,$36,2
9738181,1/3/2014,Walmart,Monster,345370,$14,1
9739290,1/4/2014,Publix,Monster,185438,$5,3
9739564,1/4/2014,Walmart,Monster,286775,$2,1
9739856,1/5/2014,Walmart,Red Bull,115327,$2,1
9739885,1/3/2014,CVS,Monster,185438,$2,1
9740696,1/5/2014,Kroger,Red Bull,115810,$4,2
9740789,1/4/2014,Target,Monster,116805,$2,1
9742107,1/6/2014,Publix,Monster,86264,$3,2
9742290,1/5/2014,Kroger,Monster,77449,$3,1
9742361,1/6/2014,CVS,Monster,48736,$5,2
9742939,1/6/2014,Target,Rockstar,215350,$6,1
9743285,1/4/2014,Walgreens,Red Bull,61065,$4,1
9743386,1/6/2014,Walgreens,Red Bull,283622,$4,1
9743847,1/3/2014,Walmart,Monster,159495,$2,1
9744020,1/4/2014,Walmart,Red Bull,143296,$2,1
9744037,1/6/2014,Kroger,Rockstar,289887,$2,1
9744181,1/6/2014,Kroger,Monster,90225,$2,1
9744639,1/5/2014,Safeway,Rockstar,329468,$3,1
9745229,1/4/2014,Walgreens,5 Hour Energy,208725,$4,1
9745939,1/6/2014,Walmart,Red Bull,199144,$6,3
9746086,1/5/2014,Walgreens,Monster,204675,$4,2
9746184,1/5/2014,CVS,Monster,162425,$5,2
9746222,1/6/2014,CVS,Monster,162425,$5,2
9746647,1/6/2014,Walgreens,Red Bull,314094,$2,1
9747308,1/2/2014,Walmart,Monster,138972,$6,1
9747684,1/6/2014,Walmart,Monster,47039,$14,1
9747716,1/6/2014,Walmart,Red Bull,96226,$6,1
9748534,1/6/2014,Safeway,Monster,45799,$4,2
9748953,1/4/2014,Kroger,Red Bull,178189,$7,1
9749117,1/6/2014,Target,Rockstar,292962,$2,1
9749127,1/6/2014,Target,Red Bull,307088,$2,1
9749815,1/6/2014,CVS,Monster,7345,$2,1
9750124,1/5/2014,Walmart,Red Bull,236599,$4,1
9750257,1/6/2014,Safeway,Red Bull,337227,$6,1
9750610,1/6/2014,Safeway,Rockstar,45799,$4,3
9751179,1/5/2014,CVS,Red Bull,328122,$6,1
9752002,1/5/2014,Walmart,Rockstar,26931,$4,4
9752312,1/6/2014,Target,Red Bull,7065,$12,2
9752473,1/6/2014,Kroger,Red Bull,342824,$3,1
9752647,1/3/2014,Walgreens,Red Bull,179124,$6,1
9752733,1/6/2014,Walmart,Red Bull,174662,$2,1
9753326,1/4/2014,Walmart,Rockstar,26931,$1,1
9753338,1/6/2014,Walmart,Rockstar,26931,$1,1
9753406,1/6/2014,Kroger,Rockstar,210314,$14,7
9753949,1/4/2014,CVS,Red Bull,118618,$10,5
9754829,1/3/2014,Walmart,Monster,215893,$11,6
9754888,1/3/2014,Target,Monster,116191,$6,1
9754970,1/6/2014,Target,Rockstar,159701,$2,1
9756034,1/4/2014,Walmart,Red Bull,217434,$9,2
9756460,1/2/2014,Safeway,Red Bull,296526,$2,1
9756561,1/4/2014,Kroger,Red Bull,259238,$3,1
9756726,1/3/2014,Safeway,Rockstar,261726,$4,2
9757055,1/6/2014,Target,Monster,196394,$2,1
9757133,1/6/2014,Kroger,Monster,238394,$2,1
9757157,1/5/2014,Kroger,Monster,238394,$2,1
9758241,1/2/2014,Walmart,Monster,206908,$6,1
9758466,1/6/2014,CVS,Red Bull,117818,$2,1
9759077,1/5/2014,CVS,Monster,217497,$3,1
9759317,1/4/2014,Target,Monster,358032,$6,1
9759764,1/6/2014,Safeway,Rockstar,318116,$10,5
9760046,1/6/2014,Walgreens,Red Bull,130784,$10,1
9760068,1/6/2014,Walmart,5 Hour Energy,350664,$5,1
9761001,1/5/2014,Walmart,Monster,75011,$2,1
9761980,1/5/2014,Kroger,Red Bull,226611,$18,6
9762697,1/3/2014,Walmart,Rockstar,188374,$2,1
9763373,1/6/2014,Walmart,Monster,253507,$2,1
9763508,1/6/2014,Target,Red Bull,93325,$7,1
9764220,1/4/2014,Safeway,Rockstar,266911,$1,1
9764240,1/2/2014,Safeway,Rockstar,266911,$1,1
9764270,1/5/2014,Safeway,Rockstar,266911,$1,1
9764498,1/5/2014,Walmart,Monster,354720,$2,1
9764560,1/5/2014,Walgreens,Red Bull,131128,$7,2
9764858,1/5/2014,Walmart,Red Bull,281212,$2,1
9765392,1/6/2014,Target,5 Hour Energy,314929,$14,1
9766672,1/6/2014,Kroger,Rockstar,86363,$7,4
9766848,1/6/2014,Kroger,Rockstar,298586,$9,5
9766957,1/3/2014,Walgreens,Monster,51276,$2,1
9767604,1/6/2014,Kroger,Monster,105870,$4,2
9767852,1/2/2014,Safeway,Rockstar,98739,$2,1
9768018,1/6/2014,Safeway,Rockstar,175364,$3,2
9768157,1/6/2014,Walmart,Red Bull,342864,$4,1
9768541,1/6/2014,Safeway,Red Bull,36245,$5,1
9769999,1/5/2014,Walmart,Red Bull,229801,$18,1
